gene
ZNF185
TRIM33
IGHV4–39
TOLLIP
TF
S100A10
RPLP2
IMPA1
CP
METAP2
BST1
HSPA6
LRRFIP1
RAC1
A1BG
IGHV1–8
AGT
VAMP8
SDCBP2
FCAR
CREG1
ACP1
GLUL
CLCA4
SERPINB7
S100P
DMBT1
DPP4
KRT14
SERPINB2
EPS8L2
DSTN
GNB1
TP53I3
ARSB
KRT17
TGM3
DCD
RPTN
APEX1
GDF15
CCT2
SYNCRIP
FLG2
CPM
KRT2
KRT9
SPRR2D
KRT10
FLG
KRT1
LCE3D 
